"Student Counts by District and Grade"
"All Districts"
"2017-18"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Wilton School District","=""1610011""",55,211,243,267,315,280,316,342,350,318,365,329,321,338,4050
"Winchester School District","=""1620011""",21,71,64,74,66,82,86,71,"*","*","*","*","*",10,554
"Windham School District","=""1630011""",260,266,289,284,279,276,321,271,256,257,163,152,129,146,3349
"Windsor Locks School District","=""1650011""",99,96,105,124,105,100,109,123,118,103,121,108,117,125,1553
"Windsor School District","=""1640011""",107,187,199,193,230,215,243,213,255,240,300,300,276,316,3274
"Wolcott School District","=""1660011""",49,147,144,142,134,151,164,169,203,192,173,209,201,185,2263
"Woodbridge School District","=""1670011""",30,101,109,125,121,129,110,111,0,0,0,0,0,0,836
"Woodstock School District","=""1690011""",42,76,69,78,83,99,91,83,117,114,"*","*",0,"*",857
"Achievement First Hartford Academy Inc. District","=""2880013""",0,87,88,92,92,93,136,127,139,133,48,41,38,35,1149
"Amistad Academy District","=""2790013""",0,96,92,92,94,93,99,94,96,85,74,69,51,46,1081
"Booker T. Washington Academy District","=""2950013""",0,69,82,73,46,30,0,0,0,0,0,0,0,0,300
"Bridgeport Achievement First District","=""2850013""",0,93,93,97,91,91,98,95,93,93,75,56,57,30,1062
"Canaan School District","=""0210011""",0,"*",6,12,"*",8,"*",7,9,15,0,0,0,0,71
"Capital Preparatory Harbor School Inc. District","=""2970013""",0,32,23,22,22,25,43,46,39,39,60,33,27,28,439
"Chester School District","=""0260011""",0,31,34,26,27,28,30,29,0,0,0,0,0,0,205
"Colebrook School District","=""0290011""",0,11,11,13,10,12,18,12,0,0,0,0,0,0,87
"Deep River School District","=""0360011""",0,30,33,39,43,32,44,55,0,0,0,0,0,0,276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*",6,6,10,"*",7,20,7,15,81,87,87,94,425
"Elm City College Preparatory School District","=""2890013""",0,65,67,67,67,67,66,62,65,62,51,53,31,29,752
"Odyssey Community School District","=""2630013""",0,38,36,36,36,36,38,38,37,34,0,0,0,0,329
"Regional School District 01","=""2010012""",0,"*","*","*",0,0,0,"*","*",0,84,99,116,85,390
"Sharon School District","=""1250011""",0,19,8,11,18,13,21,13,19,17,0,0,0,0,139
"Unified School District #2","=""3470015""",0,0,0,"*",0,0,0,0,"*",10,23,51,39,29,157
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,99,98,86,77,0,0,0,0,360
"Great Oaks Charter School District","=""2940013""",0,0,0,0,0,0,0,131,106,92,71,0,0,0,400
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,92,93,86,0,0,0,0,271
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,31,40,48,0,0,0,0,119
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,143,184,137,154,146,160,924
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,328,397,374,380,362,375,2216
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,0,149,160,218,163,201,191,1082
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,233,237,264,253,236,285,1508
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,47,50,32,30,41,35,235
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,51,49,52,50,39,38,279
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,85,83,91,103,121,78,561
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,7,63,33,32,44,179
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,68,50,53,31,202
"Connecticut Technical Education and Career System","=""9000016""",0,0,0,0,0,0,0,0,0,0,3053,2736,2517,2423,10729
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,20,21,29,26,96
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,571,615,574,566,2326
"Path Academy District","=""2930013""",0,0,0,0,0,0,0,0,0,0,45,46,45,38,174
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,215,215,232,247,909
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,278,301,295,334,1208
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,22,42,49,46,159
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,249,275,300,263,1087
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*","*"
"Total","=""""",18737,36239,36820,36930,38130,39047,40319,39840,40380,40569,43578,41482,41088,41866,535025

